;Time T1-Pressure(m)	T2-Pressure(m)	T3-Pressure(m)	T4-Pressure(m)	T5-Pressure(m)	T6-Pressure(m)	T7-Pressure(m)	S1-P310-Flowrate(l/s)	S2-PU4-Flowrate(l/s)	S3-PU7-Flowrate(l/s)	S4-PU8-Flowrate(l/s)	S5-PU10-Flowrate(l/s)
21:00:00	2.62	1.64	3.65	2.62	3.62	5.5	2.56	118	0	50	0	31
22:00:00	2.28	1.94	3.22	2.43	2.84	5.5	2.86	118	0	50	0	31
23:00:00	1.98	2.08	3.2	2.58	1.97	5.5	2.93	118	35	49	0	31
24:00:00	1.66	2	3.64	2.76	1.64	5.5	3.34	119	34	49	34	28
25:00:00	1.31	1.91	4.14	3.13	2.16	5.5	4.13	119	32	48	34	28
26:00:00	1.01	1.84	4.7	3.69	2.74	5.43	4.46	118	32	48	35	0
27:00:00	1.09	1.94	5.24	4.25	3.41	5.15	3.25	194	32	47	35	0
28:00:00	1.2	2.51	5.09	3.9	4.07	5.07	2.75	193	0	0	34	30
29:00:00	1.29	3.17	4.84	3.05	4.38	5.4	3.5	193	0	49	0	31
30:00:00	1.41	3.48	4.56	3.64	3.79	5.5	4.23	194	0	49	0	31
31:00:00	1.49	3.75	4.24	4.01	3.12	5.5	4.73	194	0	49	0	31
32:00:00	1.68	4.05	3.86	4.28	2.47	5.2	3.37	193	0	50	0	0
33:00:00	1.8	4.31	3.42	4.43	1.65	5.1	2.47	194	0	50	0	32
34:00:00	1.74	4.52	3	4.38	1.78	5.25	2.47	196	36	50	35	30
35:00:00	1.61	4.35	3.44	4.33	2.16	5.36	2.34	195	35	50	35	30
36:00:00	1.52	4.21	3.93	4.23	2.55	5.43	2.14	195	35	49	34	30
37:00:00	1.43	4.09	4.4	4.41	2.96	5.5	2.04	195	35	49	34	30
38:00:00	1.37	3.98	4.88	4.43	3.35	5.5	2.47	195	34	49	34	29
39:00:00	1.32	3.97	5.24	4.34	3.78	5.5	2.98	194	0	0	34	29
40:00:00	1.34	4.55	4.9	3	4.24	5.5	3.54	194	0	50	34	29
41:00:00	1.4	4.76	4.53	3.27	4.23	5.5	4.08	193	0	50	0	31
42:00:00	1.54	4.97	4.17	3.58	3.56	5.5	4.71	193	0	50	0	30
43:00:00	1.78	5.21	3.8	3.96	2.84	5.2	3.4	192	0	50	0	0
44:00:00	1.93	5.41	3.41	4.3	2.19	5.11	2.68	193	0	50	0	32
45:00:00	2.15	5.25	3.01	4.41	1.52	5.35	2.99	184	34	48	0	33
46:00:00	2.38	4.59	3.48	3.84	1.85	5.48	2.84	187	35	0	36	31
47:00:00	2.57	3.97	3.94	3.01	2.12	5.5	3.03	186	34	48	35	31
48:00:00	2.78	3.09	4.34	3	2.5	5.5	2.9	186	33	48	35	30
49:00:00	2.97	2.22	4.75	3.08	2.82	5.5	3.02	184	33	48	35	30
50:00:00	3.21	1.36	5.15	3.04	3.21	5.5	3.36	181	31	46	35	30
51:00:00	3.52	0.75	5.1	3.51	3.83	5.5	4.13	180	0	46	34	29
52:00:00	3.7	0.78	4.88	4.26	4.46	5.4	4.32	186	0	47	0	0
53:00:00	3.97	1.63	4.7	3.98	4.13	5.18	3.44	183	0	0	0	0
54:00:00	4.28	2.55	4.53	3.35	3.79	4.96	2.8	184	0	0	0	0
55:00:00	4.41	3.21	4.29	3.47	3.34	5.15	3.14	186	0	49	0	32
56:00:00	4.49	3.68	4.05	4.09	2.85	5.5	3.97	188	0	49	0	31
57:00:00	4.33	4.1	3.76	4.33	2.3	5.5	4.79	114	0	0	0	31
58:00:00	4.2	4.74	3.36	3.02	1.55	5.1	2.91	114	0	50	0	0
59:00:00	3.81	4.88	3.03	3.22	1.9	5.16	2.69	116	0	51	35	30
60:00:00	3.42	4.68	3.45	3.2	2.24	5.29	2.57	117	36	50	35	30
61:00:00	3.02	4.45	3.93	3.39	2.62	5.39	2.41	118	36	50	34	30
62:00:00	2.62	4.21	4.37	3.6	3.04	5.5	2.56	118	35	50	34	30
63:00:00	2.24	3.96	4.84	3.59	3.32	5.5	2.75	118	34	49	34	29
64:00:00	1.89	3.78	5.27	3.98	3.82	5.5	3.04	119	0	49	34	29
65:00:00	1.56	3.87	4.87	4.18	4.28	5.5	3.58	119	0	49	34	29
66:00:00	1.24	3.92	4.47	4.41	4.33	5.5	3.8	118	0	50	0	31
67:00:00	1.03	4.01	4.09	4.47	3.61	5.5	4.17	119	0	50	0	31
68:00:00	1.05	4.18	3.62	4.28	2.71	5.5	4.02	196	0	50	0	31
69:00:00	1.12	4.37	3.2	4.24	1.81	5.5	4.18	196	0	50	0	32
70:00:00	1.07	4.32	3.25	4.15	1.67	5.5	3.79	197	36	50	35	30
71:00:00	0.96	4.12	3.68	3.94	1.93	5.5	3.77	198	35	50	34	29
72:00:00	0.84	3.93	4.15	3.78	2.32	5.5	3.98	196	35	49	34	29
73:00:00	0.81	3.81	4.65	3.96	2.73	5.5	4.22	194	33	48	34	28
74:00:00	0.88	3.74	5.19	4.47	3.36	5.41	4.4	194	33	48	36	0
75:00:00	1.06	4.3	5.09	3.45	3.96	5.08	2.93	190	0	0	35	0
76:00:00	1.25	4.74	4.86	3.38	4.4	5.18	3	190	0	48	0	31
77:00:00	1.49	5.02	4.65	4.21	4.02	5.5	4.1	191	0	49	0	30
78:00:00	1.75	5.49	4.42	3.93	3.54	5.39	4.32	186	0	0	0	0
79:00:00	2.37	5.5	4.19	3.04	3.04	5.1	3.03	180	0	0	0	0
80:00:00	2.79	4.98	3.81	3.21	2.35	5.16	2.81	183	0	49	0	33
81:00:00	3.16	4.46	3.46	3.51	1.62	5.4	3.07	182	0	50	0	33
82:00:00	3.39	3.92	3.06	3.37	1.81	5.5	3.18	186	0	49	36	30
83:00:00	3.55	3.1	3.38	3.27	2.19	5.5	3.33	184	33	47	36	30
84:00:00	3.76	2.24	3.83	3.43	2.6	5.5	3.82	185	33	47	36	30
85:00:00	3.93	1.38	4.24	3.46	2.93	5.5	3.98	185	33	47	36	30
86:00:00	4.08	0.52	4.6	3.53	3.22	5.5	4.15	183	33	47	35	30
87:00:00	3.83	0.73	5.01	3.58	3.67	5.5	4.13	192	35	49	35	30
88:00:00	3.6	1.01	5.19	3.64	4.08	5.5	4.29	192	0	49	35	30
89:00:00	3.41	1.49	4.75	3.73	4.42	5.5	4.59	191	0	49	34	29
90:00:00	3.51	2	4.41	4.17	3.96	5.27	3.72	190	0	49	0	0
91:00:00	3.58	2.48	4.02	4.43	3.22	5.07	2.6	189	0	0	0	32
92:00:00	3.67	3.27	3.67	3.15	2.49	5.32	2.91	190	0	0	0	32
93:00:00	3.64	3.68	3.28	3.01	1.83	5.5	3.01	192	0	51	0	32
94:00:00	3.48	3.87	3.17	2.86	1.68	5.5	3.06	192	36	50	35	30
95:00:00	3.32	3.87	3.65	2.99	2.06	5.5	3.07	193	35	50	35	30
96:00:00	3.14	3.86	4.13	2.91	2.49	5.5	3.04	191	35	50	35	30
97:00:00	3.03	3.87	4.63	2.92	2.94	5.5	3.2	191	34	49	35	30
98:00:00	2.95	3.91	5.14	3.43	3.47	5.5	3.77	191	33	49	34	29
99:00:00	2.9	4.16	5.11	4	3.99	5.5	4.6	189	0	48	34	28
100:00:00	3.08	4.67	4.9	4.19	4.38	5.3	3.89	184	0	0	0	0
101:00:00	3.45	5.44	4.71	3.42	4.04	5.07	3.07	185	0	0	0	0
102:00:00	3.94	5.23	4.46	3.39	3.57	5.12	2.94	176	0	49	0	32
103:00:00	4.39	4.71	4.23	3.95	3.12	5.5	3.8	177	0	49	0	33
104:00:00	4.57	4.19	3.88	4.17	2.46	5.5	4.46	113	0	49	0	32
105:00:00	4.5	3.66	3.37	4.01	1.61	5.5	4.39	113	0	49	0	32
106:00:00	4.29	3.01	3.11	3.76	1.74	5.5	4.17	113	34	47	36	30
107:00:00	4.16	2.14	3.51	3.83	2.1	5.5	4.23	112	32	47	36	30
108:00:00	4.08	1.3	3.98	4.07	2.52	5.5	4.6	111	31	45	35	29
109:00:00	4.19	0.61	4.49	4.24	3.22	5.29	3.84	111	32	0	36	0
110:00:00	4.05	0.92	5.06	3.29	3.95	4.98	2.58	116	34	0	36	0
111:00:00	3.59	1.22	5.12	3.26	4.45	5.18	2.79	118	0	49	33	30
112:00:00	3.23	1.6	4.75	3.52	3.94	5.41	3.05	117	0	49	0	32
113:00:00	2.91	1.95	4.41	3.85	3.26	5.5	3.61	117	0	49	0	31
114:00:00	2.62	2.28	4.09	4.23	2.6	5.5	4.04	117	0	49	0	31
115:00:00	2.32	2.57	3.74	4.41	1.87	5.5	4.32	119	0	49	0	31
116:00:00	1.92	2.73	3.27	4.26	1.64	5.5	4.35	121	0	49	34	29
117:00:00	1.46	2.63	3.19	4.11	1.92	5.5	4.28	121	36	49	35	29
118:00:00	1.02	2.37	3.58	3.79	2.06	5.5	4.02	122	35	49	34	29
119:00:00	0.84	2.29	4.02	3.53	2.25	5.5	3.58	197	35	49	35	29
120:00:00	0.73	2.24	4.44	3.28	2.53	5.5	3.74	197	35	49	34	29
121:00:00	0.61	2.2	4.87	3.44	2.89	5.5	4.01	196	34	48	34	29
122:00:00	0.57	2.25	5.26	3.79	3.38	5.5	4.53	196	0	48	33	28
123:00:00	0.64	2.56	4.98	4.3	4.02	5.3	3.89	194	0	48	35	0
124:00:00	0.88	3.17	4.76	3.82	4.36	5.02	2.72	189	0	0	0	0
125:00:00	1.16	3.86	4.57	3.03	3.96	5.25	3.29	191	0	48	0	31
126:00:00	1.37	4.18	4.35	3.87	3.57	5.5	4.45	192	0	49	0	30
127:00:00	1.63	4.49	4.1	4.47	3.09	5.31	3.94	191	0	49	0	0
128:00:00	1.95	5.15	3.78	3.49	2.54	4.98	2.51	189	0	0	0	0
129:00:00	2.11	5.5	3.48	3.23	1.88	5.28	3.06	186	0	50	0	32
130:00:00	2.36	4.97	3.07	3.31	1.69	5.5	3.29	185	0	49	36	30
131:00:00	2.61	4.15	3.38	3.62	2.1	5.5	3.67	186	33	47	35	29
132:00:00	2.83	3.29	3.86	3.91	2.62	5.5	4.26	186	33	47	36	30
133:00:00	3.04	2.43	4.3	3.98	2.95	5.5	4.5	184	33	47	35	30
134:00:00	3.27	1.57	4.72	4.11	3.43	5.5	4.6	184	32	47	35	30
135:00:00	3.51	0.73	5.14	4.15	3.87	5.5	4.7	184	32	47	35	30
136:00:00	3.51	0.86	5.07	4.18	4.35	5.23	3.52	191	0	49	36	0
137:00:00	3.49	1.37	4.69	4.25	4.02	5.11	2.61	191	0	49	0	32
138:00:00	3.47	1.86	4.29	4.38	3.33	5.35	2.89	190	0	49	0	32
139:00:00	3.49	2.44	3.95	3.99	2.68	5.5	3.33	190	0	0	0	32
140:00:00	3.51	3.07	3.53	3.02	1.85	5.5	3.51	192	0	50	0	32
141:00:00	3.38	3.43	3.05	2.92	1.69	5.5	3.48	194	0	50	36	30
142:00:00	3.14	3.43	3.37	2.82	1.9	5.5	3.32	195	36	50	35	30
143:00:00	2.91	3.38	3.78	2.63	2.14	5.5	3.04	194	35	50	35	30
144:00:00	2.73	3.37	4.23	2.72	2.43	5.5	2.84	194	35	49	35	29
145:00:00	2.57	3.37	4.7	3.05	2.91	5.5	3.38	191	34	48	34	29
146:00:00	2.52	3.44	5.23	3.65	3.51	5.5	4.29	191	33	48	34	29
147:00:00	2.56	3.76	5.05	4.2	4.16	5.37	4.21	190	0	48	36	0
148:00:00	2.79	4.33	4.78	3.96	4.26	5.08	2.96	186	0	0	0	0
149:00:00	3.06	5.06	4.58	3.22	3.87	5.16	3.03	187	0	0	0	32
150:00:00	3.21	5.44	4.31	3.43	3.38	5.5	3.82	188	0	50	0	30
151:00:00	3.61	5.09	4	3.94	2.83	5.46	4.62	175	0	49	0	0
152:00:00	4.17	4.57	3.68	4.4	2.2	5.17	3.3	175	0	48	0	0
153:00:00	4.51	4.42	3.33	3.57	1.52	5.12	2.66	113	0	0	36	31
154:00:00	4.35	4.09	3.04	3.18	1.87	5.27	2.6	113	35	48	36	31
155:00:00	4.17	3.2	3.43	3.06	2.21	5.42	2.59	113	34	48	35	31
156:00:00	4.07	2.33	3.85	3.18	2.68	5.5	2.71	113	33	47	35	30
157:00:00	3.92	1.47	4.3	3.25	3.05	5.5	3.05	113	32	47	35	30
158:00:00	3.78	0.62	4.73	3.21	3.48	5.5	3.45	112	32	46	35	30
159:00:00	3.39	0.6	5.19	3.5	4	5.5	3.82	118	33	48	34	29
160:00:00	2.95	0.9	5.03	3.79	4.49	5.5	4.24	118	0	48	33	29
161:00:00	2.65	1.29	4.62	4.11	3.88	5.5	4.65	117	0	49	0	31
162:00:00	2.44	1.68	4.29	4.28	3.14	5.24	3.57	116	0	49	0	0
163:00:00	2.26	2.07	3.96	4.36	2.41	5.09	2.61	118	0	0	0	32
164:00:00	2	2.64	3.58	3.02	1.68	5.27	2.68	118	0	50	0	32
165:00:00	1.62	2.79	3.19	2.95	1.74	5.37	2.5	120	0	50	35	30
166:00:00	1.2	2.66	3.24	2.79	1.91	5.47	2.39	122	36	50	34	30
167:00:00	0.89	2.46	3.65	2.4	2.12	5.4	1.87	199	35	50	35	30
168:00:00	3	0.5	3	2.5	1	5.2	2.5	193	33	49	35	30
